accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details	country_code	continent	sub-region	region	int-region	location	host_type
MH882547	10272	0	10272	Asian	2016-06-02	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882546	10272	0	10272	Asian	2016-05-24	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882545	10272	0	10272	Asian	2016-05-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882544	10272	0	10272	Asian	2016-05-12	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882543	10272	0	10272	Asian	2016-05-05	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882542	10272	0	10272	Asian	2016-04-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882541	10272	0	10272	Asian	2016-04-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882540	10272	0	10272	Asian	2016-07-27	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882539	10272	0	10272	Asian	2016-07-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882538	10272	0	10272	Asian	2016-07-12	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882537	10230	0	10230	Asian	2016-07-05	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882536	10272	0	10272	Asian	2016-06-28	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882535	10272	0	10272	Asian	2016-06-16	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882534	10272	0	10272	Asian	2016-06-08	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882533	10272	0	10272	Asian	2016-06-03	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882532	10272	0	10272	Asian	2016-05-24	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882531	10272	0	10272	Asian	2016-05-17	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882530	10272	0	10272	Asian	2016-05-10	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882529	10272	0	10272	Asian	2016-05-03	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882528	10272	0	10272	Asian	2016-04-26	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH882527	10272	0	10272	Asian	2016-04-26	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049252	10272	0	10272	Asian	16-May-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049251	10020	252	10272	Asian	30-Aug-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049250	10020	252	10272	Asian	22-Jun-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049249	10272	0	10272	Asian	02-Nov-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049248	10272	0	10272	Asian	27-Jul-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049247	10272	0	10272	Asian	29-Jan-2016	Colombia	Aedes aegypti	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	mosquito
MK049246	10272	0	10272	Asian	09-Mar-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK049245	10272	0	10272	Asian	29-Feb-2016	Colombia	Homo sapiens	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MK105975	10260	0	10260	African	14-Jun-2016	Uganda	African green monkey	genomic RNA	MR766		Zika virus			UGA	Africa	Sub-Saharan Africa	Africa	Eastern Africa	Africa	monkey
MG770186	10209	60	10269	Asian	03-Mar-2017	Brazil	Callithrix sp.	genomic RNA		30375482	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	monkey
MG770185	9955	255	10210	Asian	03-Mar-2017	Brazil	Callithrix sp.	genomic RNA		30375482	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	monkey
MG770184	10269	0	10269	Asian	03-Mar-2017	Brazil	Callithrix sp.	genomic RNA		30375482	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	monkey
MG770183	10129	81	10210	Asian	26-Jan-2017	Brazil	Callithrix sp.	genomic RNA		30375482	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	monkey
MG770188	10272	0	10272	Asian				genomic RNA			Zika virus									
MG770187	10272	0	10272	Asian				genomic RNA			Zika virus									
MF783073	10272	0	10272	Asian	10-May-2016	Haiti	mosquito	viral cRNA	Zika virus/mosquito/Haiti/1919/2016		Zika virus			HTI	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	mosquito
MF783072	10272	0	10272	Asian	27-Jun-2016	Haiti	Aedes aegypti	viral cRNA	Zika virus/mosquito/Haiti/1855/2016		Zika virus		female	HTI	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	mosquito
MH916806	10272	0	10272	Asian				genomic RNA	ZIKV/Homo sapiens/PRI/PRVABC59_8/2015		Zika virus									
MH916803	10272	0	10272	Asian				genomic RNA	ZIKV/Homo sapiens/PRI/PRVABC59_1/2015		Zika virus									
MH916802	10272	0	10272	Asian				genomic RNA	ZIKV/Homo sapiens/PRI/PRVABC59_17/2015		Zika virus									
MF510857	10272	0	10272	African	12-Jun-1984	Senegal	Aedes taylori	genomic RNA			Zika virus			SEN	Africa	Sub-Saharan Africa	Africa	Western Africa	Africa	mosquito
MH513600	10272	0	10272	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT		BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH513599	10272	0	10272	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT		BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH513598	10272	0	10272	Asian	09-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT		BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH763833	10272	0	10272	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH763832	10272	0	10272	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
NC035889	10272	0	10272	Asian	2015	Brazil	Homo sapiens	genomic RNA	Natal RGN	26862926	Zika virus	Rio Grande do Norte, Natal		BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
NC012532	10260	0	10260	African		Uganda	sentinel monkey	genomic RNA	MR 766	17195954,16223950	Zika virus			UGA	Africa	Sub-Saharan Africa	Africa	Eastern Africa	Africa	monkey
MH544701	10272	0	10272	Asian	2016-01-17	Colombia		genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	
MH013290	10272	0	10272	Asian	01-Oct-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG807647	10272	0	10272	Asian	07-Sep-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG807646	10272	0	10272	Asian	11-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG548661	10272	0	10272	Asian	30-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG548660	10272	0	10272	Asian	30-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MF996804	10272	0	10272	Asian	07-Aug-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MH055376	10272	0	10272	Asian	2016	China		genomic RNA		29925661	Zika virus			CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	
KY379148	10272	0	10272	Asian	29-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		38 year old male	CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MH368551	10272	0	10272	Asian	14-Jun-2016	Cambodia		genomic RNA			Zika virus			KHM	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	
MF073359	10272	0	10272	Asian	01-Mar-2015	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF073358	10272	0	10272	Asian	01-Jun-2015	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF073357	10272	0	10272	Asian	01-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH255601	10272	0	10272	Asian	01-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus			SGP	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MH158237	10272	0	10272	Asian	2015	Puerto Rico	Homo sapiens	genomic RNA			Zika virus			PRI	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH158236	10272	0	10272	Asian	2010	Cambodia	Homo sapiens	genomic RNA			Zika virus			KHM	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG758786	10272	0	10272	African				genomic RNA	Dakar		Zika virus									
MG758785	10272	0	10272	African				genomic RNA	Dakar		Zika virus									
MH130109	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_06/1947		Zika virus									
MH130108	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_04/1947		Zika virus									
MH130107	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_03/1947		Zika virus									
MH130106	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_08/1947		Zika virus									
MH130105	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_04/1947		Zika virus									
MH130104	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_07/1947		Zika virus									
MH130103	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_06/1947		Zika virus									
MH130102	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_02/1947		Zika virus									
MH130101	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_08/1947		Zika virus									
MH130100	10257	1	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_01/1947		Zika virus									
MH130099	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_02/1947		Zika virus									
MH130098	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_01/1947		Zika virus									
MH130097	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_03/1947		Zika virus									
MH130096	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_05/1947		Zika virus									
MH130095	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_07/1947		Zika virus									
MH130094	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_05/1947		Zika virus									
MH157213	10272	0	10272	Asian	23-Jun-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-001-F_V3_O/2016		Zika virus	Tapachula, Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MH157208	10272	0	10272	Asian	22-Aug-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-022-F_V0_O/2016		Zika virus	Tapachula, Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MH157202	10272	0	10272	Asian	10-Aug-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-017-F_V3_O/2016		Zika virus	Tapachula, Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF964216	10269	0	10269	Asian	01-Dec-2016	China	Armigeres subalbatus	genomic RNA	GZDJ1666-2		Zika virus	Guizhou		CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	mosquito
KX893855	10272	0	10272	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-2/2016	28450510,29300859	Zika virus		symptomatic breast-feeding infant	VEN	Americas	Latin America and the Caribbean	Americas	South America	South America	human
KX702400	10272	0	10272	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-1/2016	28450510,29300859	Zika virus	Barquisimeto	lactating female with acute symptoms	VEN	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MH119185	10272	0	10272	Asian	01-Dec-2016	Thailand	Homo sapiens	genomic RNA			Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MH063265	10272	0	10272	Asian	17-Jul-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063264	10272	0	10272	Asian	13-Aug-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063263	10019	0	10019	Asian	05-Aug-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063262	10272	0	10272	Asian	17-Jul-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063261	10272	0	10272	Asian	24-Sep-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063260	10272	0	10272	Asian	08-Aug-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH063259	10272	0	10272	Asian	26-Jul-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MH061915	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_02/1947		Zika virus									
MH061914	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_02/1947		Zika virus									
MH061913	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_05/1947		Zika virus									
MH061912	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_03/1947		Zika virus									
MH061911	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_06/1947		Zika virus									
MH061910	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_04/1947		Zika virus									
MH061909	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_04/1947		Zika virus									
MH061908	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_06/1947		Zika virus									
MH061907	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_06/1947		Zika virus									
MH061906	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_01/1947		Zika virus									
MH061905	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_01/1947		Zika virus									
MH061904	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_02/1947		Zika virus									
MH061903	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_04/1947		Zika virus									
MH061902	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_08/1947		Zika virus									
MH061901	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_07/1947		Zika virus									
MH061900	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_04/1947		Zika virus									
MH061899	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_08/1947		Zika virus									
MH061898	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_02/1947		Zika virus									
MH061897	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_01/1947		Zika virus									
MH061896	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_04/1947		Zika virus									
MH061895	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_01/1947		Zika virus									
MH061894	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_03/1947		Zika virus									
MH061893	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_03/1947		Zika virus									
MH061892	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_03/1947		Zika virus									
MH061891	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_06/1947		Zika virus									
MH061890	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_08/1947		Zika virus									
MH061889	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_07/1947		Zika virus									
MH061888	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_02/1947		Zika virus									
MH061887	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_05/1947		Zika virus									
MH061886	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_05/1947		Zika virus									
MH061885	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_06/1947		Zika virus									
MH061884	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_01/1947		Zika virus									
MH061883	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_08/1947		Zika virus									
MH061882	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_08/1947		Zika virus									
MH061881	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_02/1947		Zika virus									
MH061880	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_08/1947		Zika virus									
MH061879	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_05/1947		Zika virus									
MH061878	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_05/1947		Zika virus									
MH061877	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_07/1947		Zika virus									
MH061876	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-P12_07/1947		Zika virus									
MH061875	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_03/1947		Zika virus									
MH061874	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_03/1947		Zika virus									
MH061873	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_01/1947		Zika virus									
MH061872	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_05/1947		Zika virus									
MH061871	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_04/1947		Zika virus									
MH061870	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_05/1947		Zika virus									
MH061869	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_06/1947		Zika virus									
MH061868	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_07/1947		Zika virus									
MH061867	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_04/1947		Zika virus									
MH061866	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_07/1947		Zika virus									
MH061865	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AA1-P8_02/1947		Zika virus									
MH061864	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_07/1947		Zika virus									
MH061863	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_02/1947		Zika virus									
MH061862	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_01/1947		Zika virus									
MH061861	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GA3-P10_08/1947		Zika virus									
MH061860	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_06/1947		Zika virus									
MH061859	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_01/1947		Zika virus									
MH061858	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC11-P7_05/1947		Zika virus									
MH061857	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_07/1947		Zika virus									
MH061856	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_03/1947		Zika virus									
MH061855	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FA12-P7_03/1947		Zika virus									
MH061854	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_06/1947		Zika virus									
MH061853	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-GD12-P10_04/1947		Zika virus									
MH061852	10260	0	10260	African				genomic RNA	ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC11-P5_08/1947		Zika virus									
