accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details
MF098768	10269	0	10269	Asian	25-Aug-2016	Russia	Homo sapiens	genomic RNA			Zika virus		
MF098769	10269	0	10269	Asian	25-Aug-2016	Russia	Homo sapiens	genomic RNA			Zika virus		
KY241675	10269	0	10269	Asian	06-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241676	10269	0	10269	Asian	06-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241677	10269	0	10269	Asian	07-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241681	10269	0	10269	Asian	08-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241684	10269	0	10269	Asian	08-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241685	10269	0	10269	Asian	12-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241686	10269	0	10269	Asian	12-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241694	10269	0	10269	Asian	19-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241692	10269	0	10269	Asian	14-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241693	10269	0	10269	Asian	15-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241759	10269	0	10269	Asian	02-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241774	10269	0	10269	Asian	05-Sep-2016	Singapore	Aedes aegypti	genomic RNA			Zika virus		
KY241775	10269	0	10269	Asian	05-Sep-2016	Singapore	Aedes aegypti	genomic RNA			Zika virus		
KY241695	10269	0	10269	Asian	20-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241699	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241701	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241702	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241703	10269	0	10269	Asian	29-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241705	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241708	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241709	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241710	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241711	10269	0	10269	Asian	29-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241715	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241718	10269	0	10269	Asian	29-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241719	10269	0	10269	Asian	29-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241723	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241724	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241728	10269	0	10269	Asian	29-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241731	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241732	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241735	10269	0	10269	Asian	27-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241737	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241739	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241741	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241742	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241743	10269	0	10269	Asian	26-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241745	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241746	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241747	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241748	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241750	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241752	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241753	10269	0	10269	Asian	26-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241755	10269	0	10269	Asian	31-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241757	10269	0	10269	Asian	12-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241758	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241760	10269	0	10269	Asian	13-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241761	10269	0	10269	Asian	03-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241762	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241763	10269	0	10269	Asian	02-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241764	10269	0	10269	Asian	31-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241765	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241768	10269	0	10269	Asian	31-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241770	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241771	10269	0	10269	Asian	02-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241772	10269	0	10269	Asian	30-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241784	10269	0	10269	Asian	08-Sep-2016	Singapore	Aedes aegypti	genomic RNA			Zika virus		
KY241785	10269	0	10269	Asian	05-Sep-2016	Singapore	Aedes albopictus	genomic RNA			Zika virus		
KY241786	10269	0	10269	Asian	06-Sep-2016	Singapore	Aedes albopictus	genomic RNA			Zika virus		
KY241707	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241744	10269	0	10269	Asian	28-Aug-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241782	10269	0	10269	Asian	07-Sep-2016	Singapore	Aedes aegypti	genomic RNA			Zika virus		
MF036115	10269	0	10269	Asian	02-Nov-2016	China	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/ZIKV-CCMU01/2016		Zika virus		
KY765317	10269	0	10269	Asian	29-Jun-2016	Nicaragua	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/NIC/7252_12A1/2016		Zika virus	Managua	M;6 years
KY765318	10269	0	10269	Asian	10-Jul-2016	Nicaragua	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/NIC/4886_12A1/2016		Zika virus	Managua	F;11 years
KY765325	10269	0	10269	Asian	22-Apr-2016	Nicaragua	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/NIC/5005_13A1/2016		Zika virus	Managua	M;11 years
KX197205	10269	0	10269	Asian	01-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
KX601166	10269	0	10269	African	17-Nov-1984	Senegal	Aedes africanus	genomic RNA	ZIKV/Aedes africanus/SEN/DakAr41524/1984		Zika virus	Kedougou	
KX421194	10269	0	10269	Asian	13-Jan-2016	Nicaragua	Homo sapiens	genomic RNA		27443522	Zika virus		
KX421195	10269	0	10269	Asian	19-Jan-2016	Nicaragua	Homo sapiens	genomic RNA		27443522	Zika virus		
KU963796	10269	0	10269	Asian	2016	China	Homo sapiens	genomic RNA			Zika virus	Shenzhen	
KU497555	10269	0	10269	Asian	30-Nov-2015	Brazil	Homo sapiens	genomic RNA		26897108	Zika virus		
KU509998	10269	0	10269	Asian	12-Dec-2014	Haiti	Homo sapiens	genomic RNA	Haiti/1225/2014	27111294	Zika virus		
KU681082	10269	0	10269	Asian	09-May-2012	Philippines	Homo sapiens	genomic RNA		27174274	Zika virus		
KU365779	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	BeH819966		Zika virus		
KU707826	10269	0	10269	Asian	01-Jul-2015	Brazil	Homo sapiens	genomic RNA		27071531	Zika virus		
KU744693	10269	0	10269	Asian	06-Feb-2016	China	Homo sapiens	genomic RNA		27103718	Zika virus		
KU365777	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	BeH818995		Zika virus		
KU365780	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	BeH815744		Zika virus		
KU365778	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	BeH819015		Zika virus		
KU312312	10269	0	10269	Asian	02-Oct-2015	Suriname	Homo sapiens	genomic RNA		26775124	Zika virus		
KU647676	10269	0	10269	Asian	Dec-2015	Martinique	Homo sapiens	genomic RNA	MRS_OPY_Martinique_PaRi_2015	27274849	Zika virus		
KU501217	10269	0	10269	Asian	01-Nov-2015	Guatemala	Homo sapiens	genomic RNA	8375	27088323	Zika virus		
KU501216	10269	0	10269	Asian	01-Dec-2015	Guatemala	Homo sapiens	genomic RNA	103344	27088323	Zika virus		
KF268950	10264	0	10266	African		Central African Republic	Aedes africanus	genomic RNA		25514122	Zika virus		
KU853012	10269	0	10269	Asian	01-Feb-2016	Italy	Homo sapiens	genomic RNA		26987769	Zika virus	Padua	
KU179098	10269	0	10269	Asian	30-Dec-2014	Indonesia	Homo sapiens	genomic RNA		27088970,28755588	Zika virus	Jambi	
KU955592	10269	0	10269	African	06-Dec-1984	Senegal	Aedes taylori	genomic RNA		27174284	Zika virus		
KU955595	10269	0	10269	African	14-Dec-1984	Senegal	Aedes taylori	genomic RNA		27174284	Zika virus		
KU926309	10269	0	10269	Asian	14-Jan-2016	Brazil	Homo sapiens	genomic RNA		27341420	Zika virus		
KU940224	10221	46	10269	Asian	01-Aug-2015	Brazil	Homo sapiens	genomic RNA		27448188	Zika virus		
KU940228	10269	0	10269	Asian	01-Jul-2015	Brazil	Homo sapiens	genomic RNA		27448188	Zika virus		
KX269878	10269	0	10269	Asian	01-Feb-2016	Italy	Homo sapiens	genomic RNA		27542178	Zika virus	Padova	
KX051563	10269	0	10269	Asian	05-Feb-2016	USA	Homo sapiens	viral cRNA		27694479	Zika virus		
KX447509	10269	0	10269	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447510	10269	0	10269	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447511	10269	0	10269	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447512	10269	0	10269	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447513	10269	0	10269	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447514	10269	0	10269	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447515	10269	0	10269	Asian	Nov-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447516	10269	0	10269	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447517	10269	0	10269	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KY328289	10269	0	10269	Asian	May-2016	Honduras	Homo sapiens	genomic RNA		27748649	Zika virus		
KX879603	10269	0	10269	Asian	Apr-2016	Ecuador	Homo sapiens	genomic RNA	ZIKV/EC/Esmeraldas/062/2016	28232448	Zika virus	Esmeraldas	
KX879604	10269	0	10269	Asian	Apr-2016	Ecuador	Homo sapiens	genomic RNA	ZIKV/EC/Esmeraldas/089/2016	28232448	Zika virus	Esmeraldas	
LC191864	10269	0	10269	Asian	2016-04-21	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/Chiba/S36/2016	28367888	Zika virus	Chiba	
LC219720	10269	0	10269	Asian	2016-11-22	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/NIID123/2016	28445122	Zika virus		
KX702400	10269	0	10269	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-1/2016	28450510,29300859	Zika virus	Barquisimeto	lactating female with acute symptoms
KX893855	10269	0	10269	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-2/2016	28450510,29300859	Zika virus		symptomatic breast-feeding infant
KX832731	10269	0	10269	Asian	24-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KX838904	10269	0	10269	Asian	22-Aug-2016	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Miami, Florida	
KX922703	10269	0	10269	Asian	19-Jul-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KX922705	10269	0	10269	Asian	05-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KX922706	10269	0	10269	Asian	05-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KX922708	10269	0	10269	Asian	04-Sep-2016	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Miami, Florida	
KY075932	10269	0	10269	Asian	2016-03-22	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY075933	10269	0	10269	Asian	2016-06-21	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY075934	10269	0	10269	Asian	2016-07-03	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY075935	10269	0	10269	Asian	2016-07-16	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida, Miami-Dade County	
KY075936	10269	0	10269	Asian	2016-08-04	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida, Miami-Dade County	
KY075937	10269	0	10269	Asian	2016-09-09	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Florida, Miami Beach	
KY075938	10269	0	10269	Asian	2016-09-20	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Florida, Miami Beach	
KY075939	10269	0	10269	Asian	2016-10-05	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Florida, Miami Beach	
KY325464	10269	0	10269	Asian	19-Sep-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY325468	10269	0	10269	Asian	04-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY325469	10269	0	10269	Asian	04-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY325473	10269	0	10269	Asian	31-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY325476	10231	0	10234	Asian	11-Oct-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY606271	10211	58	10269	Asian	05-Mar-2016	Mexico	Homo sapiens	genomic RNA		28538727	Zika virus	Chiapas	
KY014296	10269	0	10269	Asian	18-Apr-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY014297	10269	0	10269	Asian	12-Apr-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY014299	10269	0	10269	Asian	04-Sep-2016	USA	Aedes aegypti	genomic RNA		28538734	Zika virus	Miami, FL	
KY014300	10269	0	10269	Asian	20-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY014302	10269	0	10269	Asian	21-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY014303	10269	0	10269	Asian	11-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY014306	10269	0	10269	Asian	10-Jun-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY014310	10248	0	10269	Asian	09-May-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY014312	10269	0	10269	Asian	13-May-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY014314	10269	0	10269	Asian	14-Jun-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY014315	10269	0	10269	Asian	06-Jun-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY014317	10269	0	10269	Asian	21-Mar-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY014318	10269	0	10269	Asian	27-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY014319	10264	0	10269	Asian	30-Apr-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY014320	10269	0	10269	Asian	23-Mar-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY014324	10269	0	10269	Asian	22-Aug-2016	USA	Aedes aegypti	genomic RNA		28538734	Zika virus	Miami, FL	
KY785415	10269	0	10269	Asian	11-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY785418	10269	0	10269	Asian	13-May-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY785420	10269	0	10269	Asian	18-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY785422	10269	0	10269	Asian	09-Sep-2016	USA	Aedes aegypti	genomic RNA		28538734	Zika virus	Miami, FL	
KY785435	10237	32	10269	Asian	07-Jul-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus		
KY785441	10269	0	10269	Asian	13-Jun-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY785442	10269	0	10269	Asian	04-Jun-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY785448	10269	0	10269	Asian	10-Jun-2016	Honduras	Homo sapiens	genomic RNA		28538734	Zika virus	Francisco Morazan	
KY785450	10269	0	10269	Asian	12-Apr-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY785455	10269	0	10269	Asian	06-Apr-2016	Brazil	Homo sapiens	genomic RNA		28538734	Zika virus	Rio de Janeiro	
KY785464	10269	0	10269	Asian	13-Apr-2016	Puerto Rico	Homo sapiens	genomic RNA		28538734	Zika virus		
KY785466	10269	0	10269	Asian	28-Apr-2016	Colombia	Homo sapiens	genomic RNA		28538734	Zika virus	Santander	
KY785468	10269	0	10269	Asian	05-Oct-2016	USA	Aedes aegypti	genomic RNA		28538734	Zika virus	Miami, FL	
KY785469	10269	0	10269	Asian	05-Apr-2016	Colombia	Homo sapiens	genomic RNA		28538734	Zika virus	Santander	
KY785476	10269	0	10269	Asian	18-Apr-2016	Dominican Republic	Homo sapiens	genomic RNA		28538734	Zika virus	Distrito Nacional	
KY317936	10269	0	10269	Asian	16-Jan-2016	Colombia	Homo sapiens	genomic RNA		28538739	Zika virus		
KY317937	10269	0	10269	Asian	07-Jan-2016	Colombia	Homo sapiens	genomic RNA		28538739	Zika virus		
KY317938	10269	0	10269	Asian	10-Jan-2016	Colombia	Homo sapiens	genomic RNA		28538739	Zika virus		
KY317939	10269	0	10269	Asian	06-Jan-2016	Colombia	Homo sapiens	genomic RNA		28538739	Zika virus		
KY317940	10269	0	10269	Asian	09-Jan-2016	Colombia	Homo sapiens	genomic RNA		28538739	Zika virus		
KY348640	10269	0	10269	Asian	22-Jan-2016	Suriname	Homo sapiens	genomic RNA	SL1602	28539654	Zika virus		
KY553111	10257	1	10269	Asian	Apr-2016	South Korea	Homo sapiens	genomic RNA		28795266	Zika virus		
MF099651	10260	0	10260	Asian	2016-08	China	Culex pipiens quinquefasciatus	genomic RNA		29089591	Zika virus	Guizhou	
KU729217	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
KU729218	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
KU758877	10269	0	10269	Asian	Dec-2015	French Guiana	Homo sapiens	genomic RNA			Zika virus		
KU761561	10269	0	10269	Asian	Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KU820898	10269	0	10269	Asian	14-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KU820899	10269	0	10269	Asian	17-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KU870645	10269	0	10269	Asian	02-Feb-2016	USA	Homo sapiens	genomic RNA			Zika virus		
KU922923	10269	0	10269	Asian	25-Feb-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas	
KU922960	10269	0	10269	Asian	25-Feb-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas	female, 22 years old
KU937936	10269	0	10269	Asian	11-Feb-2016	Suriname	Homo sapiens	genomic RNA			Zika virus		
KU955590	10269	0	10269	Asian	26-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KU963574	10251	0	10251	African	09-Sep-1968	Nigeria	Homo sapiens	genomic RNA			Zika virus	Ibadan	
KU991811	10269	0	10269	Asian	06-Mar-2016	Italy	Homo sapiens	genomic RNA			Zika virus	Rome	
KU997667	10269	0	10269	Asian	16-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KX013000	10269	0	10269	Asian	17-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KX051560	10269	0	10269	Asian	09-Jul-2013	Thailand	Homo sapiens	genomic RNA			Zika virus		
KX051561	10269	0	10269	Asian	21-Sep-2013	Thailand	Homo sapiens	genomic RNA			Zika virus		
KX051562	10269	0	10269	Asian	16-Jan-2015	Thailand	Homo sapiens	genomic RNA			Zika virus		
KX056898	10269	0	10269	Asian	25-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		
KX156775	10269	0	10269	Asian	11-Dec-2015	Panama	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/PAN/CDC-259249_V1-V3/2015		Zika virus		
KX156776	10269	0	10269	Asian	18-Dec-2015	Panama	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/PAN/CDC-259364_V1-V2/2015		Zika virus		
KX198135	10269	0	10269	Asian	2016	Panama	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/PAN/BEI-259634_V4/2016		Zika virus		
KX247646	10269	0	10269	Asian	09-Feb-2016	Colombia	Homo sapiens	viral cRNA			Zika virus		
KX262887	10269	0	10269	Asian	06-Jan-2016	Honduras	Homo sapiens	genomic RNA			Zika virus		
KX377336	10269	0	10269	Asian	Jul-1966	Malaysia	Aedes aegypti	genomic RNA	P6-740		Zika virus		
KX446950	10269	0	10269	Asian	01-Jan-2016	Mexico	Aedes sp.	genomic RNA	ZIKV/Aedes.sp/MEX/MEX_2-81/2016		Zika virus	Chiapas	
KX446951	10269	0	10269	Asian	01-Jan-2016	Mexico	Aedes sp.	genomic RNA	ZIKV/Aedes.sp/MEX/MEX_I-7/2016		Zika virus	Chiapas	
KX520666	10269	0	10269	Asian	Aug-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Salvadore, Bahia	female
KX548902	10269	0	10269	Asian	07-Oct-2015	Colombia	Homo sapiens	genomic RNA			Zika virus		
KX673530	10269	0	10269	Asian	21-Apr-2016	United Kingdom		genomic RNA			Zika virus		
KX694532	10269	4	10273	Asian	12-Feb-2013	Thailand	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/THA/PLCal_ZV/2013		Zika virus		female
