accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details
MK216697	10272.0	108.0	10379.0	Asian	26-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216696	10272.0	108.0	10379.0	Asian	08-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216695	10272.0	108.0	10379.0	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216694	8766.0	108.0	8873.0	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216693	9648.0	108.0	9755.0	Asian	06-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216692	10272.0	108.0	10379.0	Asian	01-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216691	9648.0	108.0	9755.0	Asian	15-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216690	10272.0	108.0	10379.0	Asian	18-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216688	10272.0	108.0	10379.0	Asian	10-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216687	10272.0	108.0	10379.0	Asian	19-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK241417	10272.0	108.0	10379.0	Asian	04-Jun-2016	Cape Verde	Homo sapiens	genomic RNA			Zika virus	Fogo	
MK241416	10272.0	108.0	10379.0	Asian	27-Nov-2015	Cape Verde	Homo sapiens	genomic RNA			Zika virus	Fogo	
MK241415	10272.0	108.0	10379.0	Asian	03-Dec-2015	Cape Verde	Homo sapiens	genomic RNA			Zika virus	Santiago	
MN611472	10272.0	108.0	10379.0	Asian	01-Jul-2019	China	Homo sapiens	genomic RNA		31678288	Zika virus		
MN577544	10272.0	108.0	10379.0	Asian	01-Jun-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN577543	10272.0	108.0	10379.0	Asian	11-Dec-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN566108	10272.0	108.0	10379.0	Asian	31-May-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN566107	10272.0	108.0	10379.0	Asian	31-May-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN566106	10272.0	108.0	10379.0	Asian	31-May-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN566105	10272.0	108.0	10379.0	Asian	31-May-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN566104	10272.0	108.0	10379.0	Asian	31-May-2016	Haiti	Homo sapiens	genomic RNA			Zika virus		
MN577550	10272.0	108.0	10379.0	Asian	19-Jan-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua	F;12 years
MN473454	10272.0	108.0	10379.0	Asian	2016	Canada	Homo sapiens	genomic RNA			Zika virus		
MN473453	10272.0	108.0	10379.0	Asian	2016	Canada	Homo sapiens	genomic RNA			Zika virus		
MN473452	10272.0	108.0	10379.0	Asian	2016	Canada	Homo sapiens	genomic RNA			Zika virus		
MN473451	10272.0	108.0	10379.0	Asian	2016	Canada	Homo sapiens	genomic RNA			Zika virus		
MN473450	9746.0	360.0	10105.0	Asian	2016	Canada	Homo sapiens	genomic RNA			Zika virus		
MK829154	10272.0	108.0	10379.0	Asian	26-Oct-2017	Portugal	Homo sapiens	genomic RNA		31559967	Zika virus		neonate with microcephaly
MK829153	9996.0	384.0	10379.0	Asian	Jun-2017	Angola	Homo sapiens	genomic RNA		31559967	Zika virus	Luanda, Bairro Prenda	HIV+ female
MK829152	10155.0	225.0	10379.0	Asian	25-May-2017	Angola	Homo sapiens	genomic RNA		31559967	Zika virus	Bengo, Caxito	conjunctivitis, rash, fever, headache, allergy and flu-like symptoms
MN124091	10272.0	108.0	10379.0	Asian	11-Dec-2015	Panama	Homo sapiens	genomic RNA		31434319	Zika virus		
MN124090	10272.0	108.0	10379.0	Asian	11-Dec-2015	Panama	Homo sapiens	genomic RNA		31434319	Zika virus		
MN100039	10272.0	108.0	10379.0	Asian	11-Dec-2015	Panama	Homo sapiens	genomic RNA		31434319	Zika virus		
MK560179	10269.0	108.0	10376.0	Asian	18-Jan-2018	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MK560178	10269.0	108.0	10376.0	Asian	09-Oct-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MK269360	10272.0	108.0	10379.0	Asian	09-Aug-2016	USA	Homo sapiens	genomic RNA		31442400	Zika virus		
MK269357	10272.0	108.0	10379.0	Asian	03-Sep-2016	USA	Homo sapiens	genomic RNA		31442400	Zika virus		
MK269356	9648.0	108.0	9755.0	Asian	19-Aug-2016	USA	Homo sapiens	genomic RNA		31442400	Zika virus		
MK269353	10269.0	108.0	10379.0	Asian	28-Aug-2016	USA	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063265	10272.0	108.0	10379.0	Asian	17-Jul-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063264	10272.0	108.0	10379.0	Asian	13-Aug-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063263	10019.0	108.0	10126.0	Asian	05-Aug-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063262	10272.0	108.0	10379.0	Asian	17-Jul-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063261	10272.0	108.0	10379.0	Asian	24-Sep-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MH063260	10272.0	108.0	10379.0	Asian	08-Aug-2017	Cuba	Homo sapiens	genomic RNA		31442400	Zika virus		
MF159531	10272.0	108.0	10379.0	Asian	2017-04-19	USA	Homo sapiens	genomic RNA		31442400	Zika virus		
MN190155	10272.0	108.0	10379.0	Asian	02-Jul-2019	China	Homo sapiens	genomic RNA			Zika virus		
MN171421	10203.0	177.0	10379.0	Asian	21-Dec-2015	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MK028862	9809.0	108.0	10258.0	Asian	2010	Cambodia	Homo sapiens	genomic RNA			Zika virus		
MK028861	10188.0	108.0	10379.0	Asian	2015	Panama	Homo sapiens	genomic RNA			Zika virus		
MK028859	10272.0	108.0	10379.0	Asian	2015	Panama	Homo sapiens	genomic RNA			Zika virus		
MK028858	10272.0	108.0	10379.0	Asian	2015	Panama	Homo sapiens	genomic RNA			Zika virus		
MK028857	10272.0	108.0	10379.0	Asian	2015	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675630	10272.0	108.0	10379.0	Asian	Sep-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MH675629	10272.0	108.0	10379.0	Asian	Aug-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675628	10272.0	108.0	10379.0	Asian	Aug-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675627	10272.0	108.0	10379.0	Asian	Aug-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675626	10272.0	108.0	10379.0	Asian	Aug-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675625	10272.0	108.0	10379.0	Asian	Aug-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675624	10272.0	108.0	10379.0	Asian	Jun-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675623	10272.0	108.0	10379.0	Asian	Jun-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675622	10272.0	108.0	10379.0	Asian	Jun-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675621	10272.0	108.0	10379.0	Asian	May-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675620	10272.0	108.0	10379.0	Asian	May-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH675619	10272.0	108.0	10379.0	Asian	May-2016	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MN025403	10272.0	108.0	10379.0	African	Aug-2018	Guinea	Homo sapiens	genomic RNA			Zika virus	Faranah	
KX051563	10272.0	108.0	10379.0	Asian	05-Feb-2016	USA	Homo sapiens	viral cRNA		27694479	Zika virus		
MK713748	10272.0	108.0	10379.0	Asian	01-Dec-2015	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MG976700	10260.0	120.0	10379.0	Asian	06-Jan-2014	French Polynesia	Homo sapiens	genomic RNA			Zika virus		
MK238039	9801.0	579.0	10379.0	Asian	11-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238038	10272.0	108.0	10379.0	Asian	15-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238037	10272.0	108.0	10379.0	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238036	10032.0	348.0	10379.0	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238035	10272.0	108.0	10379.0	Asian	18-Sep-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MH882548	10272.0	108.0	10379.0	Asian	2016-06-09	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882547	10272.0	108.0	10379.0	Asian	2016-06-02	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882546	10272.0	108.0	10379.0	Asian	2016-05-24	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882545	10272.0	108.0	10379.0	Asian	2016-05-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882544	10272.0	108.0	10379.0	Asian	2016-05-12	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882543	10272.0	108.0	10379.0	Asian	2016-05-05	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882542	10272.0	108.0	10379.0	Asian	2016-04-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882541	10272.0	108.0	10379.0	Asian	2016-04-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882540	10272.0	108.0	10379.0	Asian	2016-07-27	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882539	10272.0	108.0	10379.0	Asian	2016-07-19	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882538	10272.0	108.0	10379.0	Asian	2016-07-12	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882537	10230.0	108.0	10337.0	Asian	2016-07-05	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882536	10272.0	108.0	10379.0	Asian	2016-06-28	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882535	10272.0	108.0	10379.0	Asian	2016-06-16	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882534	10272.0	108.0	10379.0	Asian	2016-06-08	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882533	10272.0	108.0	10379.0	Asian	2016-06-03	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882532	10272.0	108.0	10379.0	Asian	2016-05-24	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882531	10272.0	108.0	10379.0	Asian	2016-05-17	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882530	10272.0	108.0	10379.0	Asian	2016-05-10	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882529	10272.0	108.0	10379.0	Asian	2016-05-03	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882528	10272.0	108.0	10379.0	Asian	2016-04-26	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MH882527	10272.0	108.0	10379.0	Asian	2016-04-26	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus		
MK049252	10272.0	108.0	10379.0	Asian	16-May-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049251	10020.0	360.0	10379.0	Asian	30-Aug-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049250	10020.0	360.0	10379.0	Asian	22-Jun-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049249	10272.0	108.0	10379.0	Asian	02-Nov-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049248	10272.0	108.0	10379.0	Asian	27-Jul-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049246	10272.0	108.0	10379.0	Asian	09-Mar-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MK049245	10272.0	108.0	10379.0	Asian	29-Feb-2016	Colombia	Homo sapiens	genomic RNA			Zika virus		
MH513600	10272.0	108.0	10379.0	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT	
MH513599	10272.0	108.0	10379.0	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT	
MH513598	10272.0	108.0	10379.0	Asian	09-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT	
MH763833	10272.0	108.0	10379.0	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus		
MH763832	10272.0	108.0	10379.0	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus		
MH013290	10272.0	108.0	10379.0	Asian	01-Oct-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
MG807647	10272.0	108.0	10379.0	Asian	07-Sep-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
MG807646	10272.0	108.0	10379.0	Asian	11-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
MG548661	10272.0	108.0	10379.0	Asian	30-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
MG548660	10272.0	108.0	10379.0	Asian	30-Nov-2016	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
MF996804	10272.0	108.0	10379.0	Asian	07-Aug-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
KY379148	10272.0	108.0	10379.0	Asian	29-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		38 year old male
MF073359	10272.0	108.0	10379.0	Asian	01-Mar-2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
MF073358	10272.0	108.0	10379.0	Asian	01-Jun-2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
MF073357	10272.0	108.0	10379.0	Asian	01-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
MH255601	10272.0	108.0	10379.0	Asian	01-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
MH158237	10272.0	108.0	10379.0	Asian	2015	Puerto Rico	Homo sapiens	genomic RNA			Zika virus		
MH158236	10272.0	108.0	10379.0	Asian	2010	Cambodia	Homo sapiens	genomic RNA			Zika virus		
MH157213	10272.0	108.0	10379.0	Asian	23-Jun-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-001-F_V3_O/2016		Zika virus	Tapachula, Chiapas	
MH157208	10272.0	108.0	10379.0	Asian	22-Aug-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-022-F_V0_O/2016		Zika virus	Tapachula, Chiapas	
MH157202	10272.0	108.0	10379.0	Asian	10-Aug-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/41-017-F_V3_O/2016		Zika virus	Tapachula, Chiapas	
KX893855	10272.0	108.0	10379.0	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-2/2016	28450510,29300859	Zika virus		symptomatic breast-feeding infant
KX702400	10272.0	108.0	10379.0	Asian	25-Mar-2016	Venezuela	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/VEN/UF-1/2016	28450510,29300859	Zika virus	Barquisimeto	lactating female with acute symptoms
MH119185	10272.0	108.0	10379.0	Asian	01-Dec-2016	Thailand	Homo sapiens	genomic RNA			Zika virus		
MH063259	10272.0	108.0	10379.0	Asian	26-Jul-2017	Cuba	Homo sapiens	genomic RNA			Zika virus		
LC369584	10272.0	108.0	10379.0	Asian	2017	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/Thai/KngSG/17-D501		Zika virus	kanagawa, Sagamihara	
MG827392	10272.0	108.0	10379.0	Asian	25-Oct-2013	French Polynesia	Homo sapiens	genomic RNA	PF13/251013-18		Zika virus		
KY441403	10272.0	108.0	10379.0	Asian	11-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
KY441402	10272.0	108.0	10379.0	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
KY441401	10272.0	108.0	10379.0	Asian	29-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
MF988734	10272.0	108.0	10379.0	Asian	Aug-2017	Singapore	Homo sapiens	genomic RNA		29346272	Zika virus		
MG674719	10251.0	108.0	10379.0	Asian	16-Apr-2016	China	Homo sapiens	genomic RNA			Zika virus		
MG674718	10272.0	108.0	10379.0	Asian	16-Apr-2016	China	Homo sapiens	genomic RNA			Zika virus		
MG645981	10272.0	108.0	10379.0	Asian	28-Oct-2006	Thailand	Homo sapiens	genomic RNA			Zika virus		
MG595216	10272.0	108.0	10379.0	Asian	23-Jun-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/R116265/2016		Zika virus		
KY120353	10272.0	108.0	10379.0	Asian	28-Apr-2016	South Korea	Homo sapiens	genomic RNA	Zika/Boracay/16423		Zika virus		
KY120352	10272.0	108.0	10379.0	Asian	22-Mar-2016	South Korea	Homo sapiens	genomic RNA	Zika/Brazil/16321		Zika virus		
MG494697	10272.0	108.0	10379.0	Asian	24-Nov-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Veracruz	female newborn
KY766069	10272.0	108.0	10379.0	Asian	25-Oct-2013	French Polynesia	Homo sapiens	genomic RNA			Zika virus		
KU729218	10272.0	108.0	10379.0	Asian	2015	Brazil	Homo sapiens	genomic RNA			Zika virus		
LC219720	10272.0	108.0	10379.0	Asian	2016-11-22	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/NIID123/2016	28445122	Zika virus		
KX447521	9274.0	108.0	9381.0	Asian	Feb-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447520	9641.0	108.0	9748.0	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447519	9058.0	108.0	9165.0	Asian	Nov-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447518	9062.0	108.0	9169.0	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447517	10272.0	108.0	10379.0	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447516	10272.0	108.0	10379.0	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447515	10272.0	108.0	10379.0	Asian	Nov-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447514	10272.0	108.0	10379.0	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447513	10272.0	108.0	10379.0	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447512	10272.0	108.0	10379.0	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447511	10272.0	108.0	10379.0	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447510	10272.0	108.0	10379.0	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
KX447509	10272.0	108.0	10379.0	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus		
